codigo_region,region,codigo_comuna,comuna,03/07/2020,03/30/2020,04/01/2020,04/03/2020,04/06/2020,0,04/08/2020,04/10/2020,04/13/2020,04/15/2020,0,04/17/2020,04/20/2020,04/24/2020,04/27/2020,0,04/30/2020,05/04/2020
15,Arica y Parinacota,15101,Arica,0,6,6,12,41,0,63,87,115,124,0,134,166,224,270,0,297,310
15,Arica y Parinacota,15102,Camarones,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
15,Arica y Parinacota,15202,General Lagos,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
15,Arica y Parinacota,15201,Putre,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
1,Tarapacá,1107,Alto Hospicio,0,-,1,3,5,0,6,10,14,15,0,16,27,39,55,0,77,128
1,Tarapacá,1402,Camiña,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
1,Tarapacá,1403,Colchane,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
1,Tarapacá,1404,Huara,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,3
1,Tarapacá,1101,Iquique,0,5,9,10,13,0,16,18,26,26,0,31,36,58,75,0,90,122
1,Tarapacá,1405,Pica,0,-,-,-,1,0,2,5,10,19,0,24,28,31,31,0,31,31
1,Tarapacá,1401,Pozo Almonte,0,-,-,-,2,0,2,2,2,2,0,2,2,2,2,0,2,3
2,Antofagasta,2101,Antofagasta,0,29,32,44,54,0,60,82,106,122,0,145,184,261,303,0,378,479
2,Antofagasta,2201,Calama,0,-,3,5,7,0,8,13,20,21,0,21,25,35,54,0,71,84
2,Antofagasta,2302,María Elena,0,-,-,-,-,0,-,-,1,2,0,4,6,7,13,0,30,35
2,Antofagasta,2102,Mejillones,0,-,-,-,1,0,2,6,12,14,0,19,27,43,65,0,77,126
2,Antofagasta,2202,Ollagüe,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
2,Antofagasta,2203,San Pedro de Atacama,0,-,2,3,4,0,4,4,4,4,0,4,4,4,4,0,4,4
2,Antofagasta,2103,Sierra Gorda,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
2,Antofagasta,2104,Taltal,0,-,-,-,-,0,1,3,3,7,0,7,7,7,7,0,7,8
2,Antofagasta,2301,Tocopilla,0,-,2,2,2,0,2,2,3,6,0,11,11,11,11,0,12,13
3,Atacama,3302,Alto del Carmen,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
3,Atacama,3102,Caldera,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,1
3,Atacama,3201,Chañaral,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
3,Atacama,3101,Copiapó,0,-,2,4,4,0,5,8,8,8,0,8,8,8,8,0,19,34
3,Atacama,3202,Diego de Almagro,0,-,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,2
3,Atacama,3303,Freirina,0,-,-,-,-,0,-,-,0,0,0,0,0,0,1,0,1,1
3,Atacama,3304,Huasco,0,-,-,-,-,0,-,-,0,0,0,0,1,0,0,0,0,1
3,Atacama,3103,Tierra Amarilla,0,-,-,-,-,0,2,4,4,4,0,4,4,5,6,0,7,9
3,Atacama,3301,Vallenar,0,-,-,-,-,0,-,-,0,0,0,0,0,7,13,0,17,24
4,Coquimbo,4103,Andacollo,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,2
4,Coquimbo,4202,Canela,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
4,Coquimbo,4302,Combarbalá,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
4,Coquimbo,4102,Coquimbo,0,17,19,19,19,0,19,21,21,19,0,20,23,24,26,0,29,31
4,Coquimbo,4201,Illapel,0,-,-,-,7,0,12,13,17,19,0,19,18,18,18,0,18,19
4,Coquimbo,4104,La Higuera,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
4,Coquimbo,4101,La Serena,0,-,3,8,12,0,12,12,12,12,0,12,16,18,19,0,20,27
4,Coquimbo,4203,Los Vilos,0,-,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1
4,Coquimbo,4303,Monte Patria,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
4,Coquimbo,4301,Ovalle,0,4,4,4,7,0,7,8,8,8,0,8,9,9,9,0,10,11
4,Coquimbo,4105,Paiguano,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
